ID,GJ,SF,SFDM,CS,CSDM,XQ,XQDM,YZBM
1,中华人民共和国,北京市,110000,市辖区,110100,东城区,110101,100010
2,中华人民共和国,北京市,110000,市辖区,110100,西城区,110102,100032
3,中华人民共和国,北京市,110000,市辖区,110100,崇文区,110103,100061
4,中华人民共和国,北京市,110000,市辖区,110100,宣武区,110104,100054
5,中华人民共和国,北京市,110000,市辖区,110100,朝阳区,110105,100011
6,中华人民共和国,北京市,110000,市辖区,110100,丰台区,110106,100071
7,中华人民共和国,北京市,110000,市辖区,110100,石景山区,110107,100071
8,中华人民共和国,北京市,110000,市辖区,110100,海淀区,110108,100091
9,中华人民共和国,北京市,110000,市辖区,110100,门头沟区,110109,102300
10,中华人民共和国,北京市,110000,市辖区,110100,房山区,110111,102488
11,中华人民共和国,北京市,110000,市辖区,110100,通州区,110112,101100
12,中华人民共和国,北京市,110000,市辖区,110100,顺义区,110113,101300
13,中华人民共和国,北京市,110000,市辖区,110100,昌平区,110114,102200
14,中华人民共和国,北京市,110000,市辖区,110100,大兴区,110115,102600
15,中华人民共和国,北京市,110000,市辖区,110100,怀柔区,110116,101400
16,中华人民共和国,北京市,110000,市辖区,110100,平谷区,110117,101200
17,中华人民共和国,北京市,110000,市辖县,110200,密云县,110228,101500
18,中华人民共和国,北京市,110000,市辖县,110200,延庆县,110229,102100
19,中华人民共和国,北京市,110000,市辖区,110100,其它区,110230,100000
20,中华人民共和国,天津市,120000,市辖区,120100,和平区,120101,300041
21,中华人民共和国,天津市,120000,市辖区,120100,河东区,120102,300171
22,中华人民共和国,天津市,120000,市辖区,120100,河西区,120103,300202
23,中华人民共和国,天津市,120000,市辖区,120100,南开区,120104,300100
24,中华人民共和国,天津市,120000,市辖区,120100,河北区,120105,300143
25,中华人民共和国,天津市,120000,市辖区,120100,红桥区,120106,300131
26,中华人民共和国,天津市,120000,市辖区,120100,塘沽区,120107,300450
27,中华人民共和国,天津市,120000,市辖区,120100,汉沽区,120108,300480
28,中华人民共和国,天津市,120000,市辖区,120100,大港区,120109,300270
29,中华人民共和国,天津市,120000,市辖区,120100,东丽区,120110,300300
30,中华人民共和国,天津市,120000,市辖区,120100,西青区,120111,300380
31,中华人民共和国,天津市,120000,市辖区,120100,津南区,120112,300350
32,中华人民共和国,天津市,120000,市辖区,120100,北辰区,120113,300400
33,中华人民共和国,天津市,120000,市辖区,120100,武清区,120114,301700
34,中华人民共和国,天津市,120000,市辖区,120100,宝坻区,120115,301800
35,中华人民共和国,天津市,120000,市辖区,120100,滨海新区,120116,300457
36,中华人民共和国,天津市,120000,市辖县,120200,宁河县,120221,301500
37,中华人民共和国,天津市,120000,市辖县,120200,静海县,120223,301600
38,中华人民共和国,天津市,120000,市辖县,120200,蓟县,120225,301900
39,中华人民共和国,天津市,120000,市辖区,120100,其它区,120226,300000
40,中华人民共和国,河北省,130000,石家庄市,130100,长安区,130102,050011
41,中华人民共和国,河北省,130000,石家庄市,130100,桥东区,130103,050011
42,中华人民共和国,河北省,130000,石家庄市,130100,桥西区,130104,050051
43,中华人民共和国,河北省,130000,石家庄市,130100,新华区,130105,050051
44,中华人民共和国,河北省,130000,石家庄市,130100,井陉矿区,130107,050100
45,中华人民共和国,河北省,130000,石家庄市,130100,裕华区,130108,050081
46,中华人民共和国,河北省,130000,石家庄市,130100,井陉县,130121,050300
47,中华人民共和国,河北省,130000,石家庄市,130100,正定县,130123,050800
48,中华人民共和国,河北省,130000,石家庄市,130100,栾城县,130124,051430
49,中华人民共和国,河北省,130000,石家庄市,130100,行唐县,130125,050600
50,中华人民共和国,河北省,130000,石家庄市,130100,灵寿县,130126,050500
51,中华人民共和国,河北省,130000,石家庄市,130100,高邑县,130127,051330
52,中华人民共和国,河北省,130000,石家庄市,130100,深泽县,130128,052560
53,中华人民共和国,河北省,130000,石家庄市,130100,赞皇县,130129,051230
54,中华人民共和国,河北省,130000,石家庄市,130100,无极县,130130,052460
55,中华人民共和国,河北省,130000,石家庄市,130100,平山县,130131,050400
56,中华人民共和国,河北省,130000,石家庄市,130100,元氏县,130132,051130
57,中华人民共和国,河北省,130000,石家庄市,130100,赵县,130133,051530
58,中华人民共和国,河北省,130000,石家庄市,130100,辛集市,130181,052360
59,中华人民共和国,河北省,130000,石家庄市,130100,藁城市,130182,052160
60,中华人民共和国,河北省,130000,石家庄市,130100,晋州市,130183,052260
61,中华人民共和国,河北省,130000,石家庄市,130100,新乐市,130184,050700
62,中华人民共和国,河北省,130000,石家庄市,130100,鹿泉市,130185,050200
63,中华人民共和国,河北省,130000,石家庄市,130100,其它区,130186,050000
64,中华人民共和国,河北省,130000,唐山市,130200,路南区,130202,063017
65,中华人民共和国,河北省,130000,唐山市,130200,路北区,130203,063015
66,中华人民共和国,河北省,130000,唐山市,130200,古冶区,130204,063104
67,中华人民共和国,河北省,130000,唐山市,130200,开平区,130205,063021
68,中华人民共和国,河北省,130000,唐山市,130200,丰南区,130207,063300
69,中华人民共和国,河北省,130000,唐山市,130200,丰润区,130208,064000
70,中华人民共和国,河北省,130000,唐山市,130200,滦县,130223,063700
71,中华人民共和国,河北省,130000,唐山市,130200,滦南县,130224,063500
72,中华人民共和国,河北省,130000,唐山市,130200,乐亭县,130225,063600
73,中华人民共和国,河北省,130000,唐山市,130200,迁西县,130227,064300
74,中华人民共和国,河北省,130000,唐山市,130200,玉田县,130229,064100
75,中华人民共和国,河北省,130000,唐山市,130200,唐海县,130230,063200
76,中华人民共和国,河北省,130000,唐山市,130200,遵化市,130281,064200
77,中华人民共和国,河北省,130000,唐山市,130200,迁安市,130283,064400
78,中华人民共和国,河北省,130000,唐山市,130200,其它区,130284,063000
79,中华人民共和国,河北省,130000,秦皇岛市,130300,海港区,130302,066000
80,中华人民共和国,河北省,130000,秦皇岛市,130300,山海关区,130303,066200
81,中华人民共和国,河北省,130000,秦皇岛市,130300,北戴河区,130304,066100
82,中华人民共和国,河北省,130000,秦皇岛市,130300,青龙满族自治县,130321,066500
83,中华人民共和国,河北省,130000,秦皇岛市,130300,昌黎县,130322,066600
84,中华人民共和国,河北省,130000,秦皇岛市,130300,抚宁县,130323,066300
85,中华人民共和国,河北省,130000,秦皇岛市,130300,卢龙县,130324,066400
86,中华人民共和国,河北省,130000,秦皇岛市,130300,其它区,130398,066000
87,中华人民共和国,河北省,130000,秦皇岛市,130300,经济技术开发区,130399,066000
88,中华人民共和国,河北省,130000,邯郸市,130400,邯山区,130402,056001
89,中华人民共和国,河北省,130000,邯郸市,130400,丛台区,130403,056004
90,中华人民共和国,河北省,130000,邯郸市,130400,复兴区,130404,056003
91,中华人民共和国,河北省,130000,邯郸市,130400,峰峰矿区,130406,056200
92,中华人民共和国,河北省,130000,邯郸市,130400,邯郸县,130421,056105
93,中华人民共和国,河北省,130000,邯郸市,130400,临漳县,130423,056600
94,中华人民共和国,河北省,130000,邯郸市,130400,成安县,130424,056700
95,中华人民共和国,河北省,130000,邯郸市,130400,大名县,130425,056900
96,中华人民共和国,河北省,130000,邯郸市,130400,涉县,130426,056400
97,中华人民共和国,河北省,130000,邯郸市,130400,磁县,130427,056500
98,中华人民共和国,河北省,130000,邯郸市,130400,肥乡县,130428,057550
99,中华人民共和国,河北省,130000,邯郸市,130400,永年县,130429,057150
100,中华人民共和国,河北省,130000,邯郸市,130400,邱县,130430,057450
101,中华人民共和国,河北省,130000,邯郸市,130400,鸡泽县,130431,057350
102,中华人民共和国,河北省,130000,邯郸市,130400,广平县,130432,057650
103,中华人民共和国,河北省,130000,邯郸市,130400,馆陶县,130433,057750
104,中华人民共和国,河北省,130000,邯郸市,130400,魏县,130434,056800
105,中华人民共和国,河北省,130000,邯郸市,130400,曲周县,130435,057250
106,中华人民共和国,河北省,130000,邯郸市,130400,武安市,130481,056300
107,中华人民共和国,河北省,130000,邯郸市,130400,其它区,130482,056000
108,中华人民共和国,河北省,130000,邢台市,130500,桥东区,130502,054001
109,中华人民共和国,河北省,130000,邢台市,130500,桥西区,130503,054000
110,中华人民共和国,河北省,130000,邢台市,130500,邢台县,130521,054001
111,中华人民共和国,河北省,130000,邢台市,130500,临城县,130522,054300
112,中华人民共和国,河北省,130000,邢台市,130500,内丘县,130523,054200
113,中华人民共和国,河北省,130000,邢台市,130500,柏乡县,130524,055450
114,中华人民共和国,河北省,130000,邢台市,130500,隆尧县,130525,055350
115,中华人民共和国,河北省,130000,邢台市,130500,任县,130526,055150
116,中华人民共和国,河北省,130000,邢台市,130500,南和县,130527,054400
117,中华人民共和国,河北省,130000,邢台市,130500,宁晋县,130528,055550
118,中华人民共和国,河北省,130000,邢台市,130500,巨鹿县,130529,055250
119,中华人民共和国,河北省,130000,邢台市,130500,新河县,130530,055650
120,中华人民共和国,河北省,130000,邢台市,130500,广宗县,130531,054600
121,中华人民共和国,河北省,130000,邢台市,130500,平乡县,130532,054500
