SF,MC,DM,PY
河北,艾河,AHE,aihe
河北,板城,BCH,bancheng
河北,保定东,BDD,baodingdong
河北,北戴河,BDH,beidaihe
河北,保定,BDI,baoding
河北,白涧,BJI,baijian
河北,百里峡,BLX,bailixia
河北,北马圈子,BMZ,beimaquanzi
河北,白旗,BQI,baiqi
河北,北舍,BSH,beishe
河北,泊头,BTO,botou
河北,北屯,BTU,beitun
河北,霸州,BZH,bazhou
河北,承安铺,CAP,chenganpu
河北,承德东,CDD,chengdedong
河北,承德,CDE,chengde
河北,柴沟堡,CGP,chaigoubao
河北,超梁沟,CLG,chaolianggou
河北,昌黎,CLI,changli
河北,磁山,CSH,cishan
河北,磁西,CXI,cixi
河北,磁县,CXI,cixian
河北,朝阳地,CYD,chaoyangdi
河北,沧州,CZH,cangzhou
河北,沧州西,CZX,cangzhouxi
河北,大厂县,DCX,dachangxian
河北,东大坝,DDB,dongdaba
河北,东光,DGU,dongguang
河北,东花园,DHY,donghuayuan
河北,段甲岭,DJL,duanjialing
河北,洞庙河,DMH,dongmiaohe
河北,大盘石,DPS,dapanshi
河北,定兴,DXI,dingxing
河北,东戌,DXU,dongxu
河北,大营镇,DYZ,dayingzhen
河北,定州东,DZD,dingzhoudong
河北,定州,DZH,dingzhou
河北,豆庄,DZH,douzhuang
河北,大杖子,DZZ,dazhangzi
河北,二道沟门,EDM,erdaogoumen
河北,丰南,FNA,fengnan
河北,抚宁,FNI,funing
河北,福山口,FSK,fushankou
河北,福山寺,FSS,fushansi
河北,浮图峪,FTY,futuyu
河北,富庄子,FZZ,fuzhuangzi
河北,固安,GAN,guan
河北,高碑店,GBD,gaobeidian
河北,高碑店东,GBD,gaobeidiandong
河北,藁城,GCH,gaocheng
河北,广德号,GDH,guangdehao
河北,贡家台,GJT,gongjiatai
河北,郭磊庄,GLZ,guoleizhuang
河北,官厅,GTI,guanting
河北,官厅西,GTX,guantingxi
河北,高邑,GYI,gaoyi
河北,高邑西,GYX,gaoyixi
河北,和村,HCU,hecun
河北,邯郸,HDA,handan
河北,邯郸东,HDD,handandong
河北,黄家店,HJD,huangjiadian
河北,河间西,HJX,hejianxi
河北,获鹿所,HLS,huolusuo
河北,获鹿,HLU,huolu
河北,河洛营,HLY,heluoying
河北,韩麻营,HMY,hanmaying
河北,衡水,HSH,hengshui
河北,猴山,HSH,houshan
河北,虎什哈,HSH,hushenha
河北,井店,JDI,jingdian
河北,金沟屯,JGT,jingoutun
河北,纪家沟,JJG,jijiagou
河北,井南,JNA,jingnan
河北,甲山,JSH,jiashan
河北,井陉,JXI,jingxing
河北,晋州,JZH,jinzhou
河北,旧庄窝,JZW,jiuzhuangwo
河北,康城,KCH,kangcheng
河北,孔家庄,KJZ,kongjiazhuang
河北,良村,LCU,liangcun
河北,林村,LCU,lincun
河北,梁底下,LDX,liangdixia
河北,六道河子,LDZ,liudaohezi
河北,廊坊,LFA,langfang
河北,落垡,LFA,luofa
河北,廊坊北,LFB,langfangbei
河北,滦河,LHE,luanhe
河北,龙华,LHU,longhua
河北,隆化,LHU,longhua
河北,滦河沿,LHY,luanheyan
河北,龙家营所,LJS,longjiayingsuo
河北,龙家营,LJY,longjiaying
河北,卢龙,LLO,lulong
河北,滦平,LPI,luanping
河北,流水沟,LSG,liushuigou
河北,狼山,LSH,langshan
河北,螺山,LSH,luoshan
河北,狼窝铺,LWP,langwopu
河北,滦县东,LXD,luanxiandong
河北,滦县,LXI,luanxian
河北,涞源,LYU,laiyuan
河北,庙宫,MGO,miaogong
河北,马柳,MLI,maliu
河北,马铺营,MPY,mapuying
河北,马头,MTO,matou
河北,南城司,NCS,nanchengsi
河北,南大庙,NDM,nandamiao
河北,南宫东,NGD,nangongdong
河北,闹海营,NHY,naohaiying
河北,牛驼,NTU,niutuo
河北,南湾子,NWZ,nanwanzi
河北,南峪,NYU,nanyu
河北,南张村,NZC,nanzhangcun
河北,彭城,PCH,pengcheng
河北,偏店,PDI,piandian
河北,平坊,PFA,pingfang
河北,徘徊北,PHB,paihuaibei
河北,潘家店,PJD,panjiadian
河北,平泉,PQU,pingquan
河北,迁安,QAN,qianan
河北,清风店,QFD,qingfengdian
河北,奇峰塔,QFT,qifengta
河北,清河城,QHC,qinghecheng
河北,秦皇岛,QHD,qinhuangdao
河北,清凉店,QLD,qingliangdian
河北,前磨头,QMT,qianmotou
河北,前苇塘,QWT,qianweitang
河北,青县,QXI,qingxian
河北,任丘,RQI,renqiu
河北,饶阳,RYA,raoyang
河北,上安,SAN,shangan
河北,上板城,SBC,shangbancheng
河北,上板城南,SBN,shangbanchengnan
河北,沙城,SCH,shacheng
河北,上谷,SGU,shanggu
河北,山海关,SHG,shanhaiguan
河北,沙河市,SHS,shaheshi
河北,三河县,SHX,sanhexian
河北,四合永,SHY,siheyong
河北,石家庄北,SJB,shijiazhuangbei
河北,石家庄,SJZ,shijiazhuang
河北,什里店,SLD,shenlidian
河北,沙岭子,SLZ,shalingzi
河北,石郎庄,SLZ,shilangzhuang
河北,肃宁,SNI,suning
河北,三平,SPI,sanping
河北,沙坨子,STZ,shatuozi
河北,涉县,SXI,shexian
河北,沙子河,SZH,shazihe
河北,深州,SZH,shenzhou
河北,唐坊,TFA,tangfang
河北,唐山北,TSB,tangshanbei
河北,唐山,TSH,tangshan
河北,汤头沟,TTG,tangtougou
河北,塔崖驿,TYY,tayayi
河北,文安,WAN,wenan
河北,武安,WAN,wuan
河北,王安镇,WAZ,wanganzhen
河北,五道河,WDH,wudaohe
河北,望都,WDU,wangdu
河北,午汲,WJI,wuji
河北,吴桥,WQI,wuqiao
河北,王瞳,WTO,wangtong
河北,完县,WXI,wanxian
河北,万庄,WZH,wanzhuang
河北,新安村,XAC,xinancun
河北,新保安,XBA,xinbaoan
河北,下板城,XBC,xiabancheng
河北,西八里,XBL,xibali
河北,西大庙,XDM,xidamiao
河北,新固镇,XGZ,xinguzhen
河北,宣化,XHU,xuanhua
河北,下花园,XHY,xiahuayuan
河北,辛集,XJI,xinji
河北,新乐,XLE,xinle
河北,兴隆县,XLX,xinglongxian
河北,新坡,XPO,xinpo
河北,徐水东,XSD,xushuidong
河北,小寺沟,XSG,xiaosigou
河北,徐水,XSH,xushui
河北,邢台,XTA,xingtai
河北,邢台东,XTD,xingtaidong
河北,下台子,XTZ,xiataizi
河北,小西庄,XXZ,xiaoxizhuang
河北,悬钟,XZH,xuanzhong
河北,新杖子,XZZ,xinzhangzi
河北,云彩岭,YCL,yuncailing
河北,杨各庄,YGZ,yanggezhuang
河北,永和,YHE,yonghe
河北,燕郊,YJI,yanjiao
河北,义井,YJI,yijing
河北,于家庄,YJZ,yujiazhuang
河北,榆树沟,YSG,yushugou
河北,窑上,YSH,yaoshang
河北,元氏,YSH,yuanshi
河北,杨树岭,YSL,yangshuling
河北,野三坡,YSP,yesanpo
河北,鹰手营子,YSZ,yingshouyingzi
河北,玉田县,YTX,yutianxian
河北,阳邑,YYI,yangyi
河北,腰栈,YZH,yaozhan
河北,银镇,YZH,yinzhen
河北,幽州,YZH,youzhou
河北,招柏,ZBA,zhaobai
河北,张百湾,ZBW,zhangbaiwan
河北,正定机场,ZDC,zhengdingjichang
河北,正定,ZDI,zhengding
河北,紫荆关,ZJG,zijingguan
河北,张家口,ZJK,zhangjiakou
河北,张家口南,ZJN,zhangjiakounan
河北,枣强,ZQI,zaoqiang
河北,张三营,ZSY,zhangsanying
河北,寨西店,ZXD,zhaixidian
河北,涿州东,ZZD,zhuozhoudong
河北,涿州,ZZH,zhuozhou
山西,安塘,ATA,antang
山西,北白,BBA,beibai
山西,白壁关,BBG,baibiguan
山西,北板桥,BBQ,beibanqiao
山西,保德,BDE,baode
山西,北六堡,BLP,beiliubao
山西,播明,BMI,boming
山西,北营,BYI,beiying
山西,北义井,BYJ,beiyijing
山西,常村,CCU,changcun
山西,程家,CJI,chengjia
山西,长治北,CZB,zhangzhibei
山西,长治,CZH,zhangzhi
山西,大涧,DJI,dajian
