MLDM,MLMC,YJXKDM,YJXKMC,ZYDM,ZYMC,YZYDM,XWLX,CC,ZYSZQY,XZ,SINCE,UNTIL,ZYLYDM,ZYQXDM,
01,哲学,0101,哲学,010100,哲学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010101,马克思主义哲学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010102,中国哲学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010103,外国哲学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010104,逻辑学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010105,伦理学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010106,美学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010107,宗教学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,010108,科学技术哲学,,xs,a,p,gjbzk,2016,,,,
01,哲学,0101,哲学,0101Z1,管理哲学,,xs,,,xxzs,2016,,,,
02,经济学,0201,理论经济学,020100,理论经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020101,政治经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020102,经济思想史,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020103,经济史,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020104,西方经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020105,世界经济,,xs,a,p,gjbzk,2016,,,,
02,经济学,0201,理论经济学,020106,人口、资源与环境经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020200,应用经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020201,国民经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020202,区域经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020203,财政学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020204,金融学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020205,产业经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020206,国际贸易学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020207,劳动经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020208,统计学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020209,数量经济学,,xs,a,p,gjbzk,2016,,,,
02,经济学,0202,应用经济学,020210,国防经济,,xs,a,p,gjbzk,2016,,,,
02,金融,0251,金融,025100,金融,,zx,s,p,gjbzk,2016,,,,
02,应用统计,0252,应用统计,025200,应用统计,,zx,s,p,gjbzk,2016,,,,
02,税务,0253,税务,025300,税务,,zx,s,p,gjbzk,2016,,,,
02,国际商务,0254,国际商务,025400,国际商务,,zx,s,p,gjbzk,2016,,,,
02,保险,0255,保险,025500,保险,,zx,s,p,gjbzk,2016,,,,
02,资产评估,0256,资产评估,025600,资产评估,,zx,s,p,gjbzk,2016,,,,
02,审计,0257,审计,025700,审计,,zx,s,m,gjbzk,2016,,,,
02,经济学,0270,统计学,027000,统计学,071400,xs,a,p,gjbzk,2016,,,,
03,法学,0301,法学,030100,法学,,xs,a,p,gjbzk,2016,,,,
