XJDWMC,XJDWDM,BYMC,BYDM,BYLX,YXMC,YXDM,YXLX,SMC,SDM,ZXMC,ZXDM
直属,02,图书馆,0203,,,,,,,,
直属,02,档案馆,0204,,,,,,,,
直属,02,国际教师教育中心,0214,教学实体,,,,,,,
党群机关,03,学工部学生处,0306,,,,,,,,
行政机关,04,研究生院,0406,,,,,,,,
行政机关,04,人事处,0407,,,,,,,,
行政机关,04,财务处,0408,,,,,,,,
行政机关,04,国际交流处,0409,,,,,,,,
行政机关,04,国际交流处,0409,,港澳台办公室,040901,,,,,
行政机关,04,信息化办公室院,0416,,,,,,,,
后勤,05,后勤管理处,0500,,,,,,,,
后勤,05,校医院,0501,,,,,,,,
华大集团,06,,,,,,,,,,
后勤集团,07,,,,,,,,,,
其它,08,,,,,,,,,,
教学科研单位,09,国际汉语教师研修基地,0917,教学实体,,,,,,,
教学科研单位,09,精密光谱科学与技术国家重点实验室,0920,教学实体,,,,,,,
教学科研单位,09,数据科学与工程学院,0929,教学实体,,,,,,,
附属单位,10,,,,,,,,,,
院系,01,法学院,0146,教学实体,,,,,,,
院系,01,外语学院,0104,教学实体,外语院部,010400,教学虚体,,,,
院系,01,外语学院,0104,教学实体,英语系,010401,教学虚体,,,,
院系,01,外语学院,0104,教学实体,日语系,010402,教学虚体,,,,
院系,01,外语学院,0104,教学实体,大学外语教学部,010403,教学虚体,,,,
院系,01,外语学院,0104,教学实体,法语系,010404,教学虚体,,,,
院系,01,外语学院,0104,教学实体,德语系,010405,教学虚体,,,,
院系,01,外语学院,0104,教学实体,俄语系,010406,教学虚体,,,,
院系,01,外语学院,0104,教学实体,继续教育部,010407,教学虚体,,,,
院系,01,外语学院,0104,教学实体,翻译系,010408,教学虚体,,,,
院系,01,外语学院,0104,教学实体,华东师范大学-鱼汶大学中欧文化研究中心,010409,教学虚体,,,,
院系,01,外语学院,0104,教学实体,外语教育技术中心,010410,教学虚体,,,,
院系,01,理工学院,0106,教学虚体,理工院部,010600,教学实体,,,,
院系,01,理工学院,0106,教学虚体,数学系,010601,教学实体,,,,
院系,01,理工学院,0106,教学虚体,物理学系,010602,教学实体,,,,
院系,01,理工学院,0106,教学虚体,统计系,010605,教学实体,,,,
院系,01,理工学院,0106,教学虚体,化学系,010606,教学实体,,,,
院系,01,体育与健康学院,0110,教学实体,体育与健康学院院部,011000,教学虚体,,,,
院系,01,体育与健康学院,0110,教学实体,体育学系,011001,教学虚体,,,,
院系,01,体育与健康学院,0110,教学实体,社会体育系,011002,教学虚体,,,,
院系,01,体育与健康学院,0110,教学实体,运管中心,011003,教学虚体,,,,
院系,01,体育与健康学院,0110,教学实体,运动系,011004,教学虚体,,,,
院系,01,体育与健康学院,0110,教学实体,大学体育教学部,011005,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,信息科学技术学院院部,011200,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,计算机科学技术系,011201,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,电子科学技术系,011202,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,计算中心,011211,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,教育部全国中小学计算机教育研究中心,011212,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,电子工程系,011213,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,通信工程系,011214,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,上海空间信息与定位导航工程技术研究中心,011215,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,华东师范大学-科罗拉多州立大学新能源与环境联合研究院,011216,教学虚体,,,,
院系,01,信息科学技术学院,0112,教学实体,系统科学研究所,011217,教学虚体,,,,
院系,01,生命科学学院,0113,教学实体,生命科学学院院部,011300,教学虚体,,,,
院系,01,生命科学学院,0113,教学实体,生物学系,011301,教学虚体,,,,
院系,01,生命科学学院,0113,教学实体,生命医学系,011302,教学虚体,,,,
院系,01,生命科学学院,0113,教学实体,脑功能基因组学教育部重点实验室,011303,教学虚体,,,,
院系,01,对外汉语学院,0117,教学实体,对外汉语学院院部,011700,教学虚体,,,,
院系,01,对外汉语学院,0117,教学实体,对外汉语系,011701,教学虚体,,,,
