YXDM,YXMC,SSDM,SSMC,BXLXDM,BXLXMC,XZLBDM,XZLBMC,SF211,SF985
10001,北京大学,11,北京市,11,普通高等学校:本科院校:大学,01,综合院校,是,是
10002,中国人民大学,11,北京市,11,普通高等学校:本科院校:大学,01,综合院校,是,是
10003,清华大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,是
10004,北京交通大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10005,北京工业大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10006,北京航空航天大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,是
10007,北京理工大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,是
10008,北京科技大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10009,北方工业大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10010,北京化工大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10011,北京工商大学,11,北京市,11,普通高等学校:本科院校:大学,08,财经院校,否,否
10012,北京服装学院,11,北京市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10013,北京邮电大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10015,北京印刷学院,11,北京市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10016,北京建筑大学,11,北京市,11,普通高等学校:本科院校:大学,01,综合院校,否,否
10017,北京石油化工学院,11,北京市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10018,北京电子科技学院,11,北京市,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10019,中国农业大学,11,北京市,11,普通高等学校:本科院校:大学,03,农业院校,是,是
10020,北京农学院,11,北京市,12,普通高等学校:本科院校:学院,03,农业院校,否,否
10022,北京林业大学,11,北京市,11,普通高等学校:本科院校:大学,04,林业院校,是,否
10023,北京协和医学院(清华大学医学部),11,北京市,11,普通高等学校:本科院校:大学,05,医药院校,否,否
10025,首都医科大学,11,北京市,11,普通高等学校:本科院校:大学,05,医药院校,否,否
10026,北京中医药大学,11,北京市,11,普通高等学校:本科院校:大学,05,医药院校,是,否
10027,北京师范大学,11,北京市,11,普通高等学校:本科院校:大学,06,师范院校,是,是
10028,首都师范大学,11,北京市,11,普通高等学校:本科院校:大学,06,师范院校,否,否
10029,首都体育学院,11,北京市,12,普通高等学校:本科院校:学院,10,体育院校,否,否
10030,北京外国语大学,11,北京市,11,普通高等学校:本科院校:大学,07,语言院校,是,否
10031,北京第二外国语学院,11,北京市,12,普通高等学校:本科院校:学院,07,语言院校,否,否
10032,北京语言大学,11,北京市,11,普通高等学校:本科院校:大学,07,语言院校,否,否
10033,中国传媒大学,11,北京市,11,普通高等学校:本科院校:大学,07,语言院校,是,否
10034,中央财经大学,11,北京市,11,普通高等学校:本科院校:大学,08,财经院校,是,否
10036,对外经济贸易大学,11,北京市,11,普通高等学校:本科院校:大学,08,财经院校,是,否
10037,北京物资学院,11,北京市,12,普通高等学校:本科院校:学院,08,财经院校,否,否
10038,首都经济贸易大学,11,北京市,11,普通高等学校:本科院校:大学,08,财经院校,否,否
10040,外交学院,11,北京市,12,普通高等学校:本科院校:学院,07,语言院校,否,否
10041,中国人民公安大学,11,北京市,11,普通高等学校:本科院校:大学,09,政法院校,否,否
10042,国际关系学院,11,北京市,12,普通高等学校:本科院校:学院,09,政法院校,否,否
10043,北京体育大学,11,北京市,11,普通高等学校:本科院校:大学,10,体育院校,是,否
10045,中央音乐学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,是,否
10046,中国音乐学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10047,中央美术学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10048,中央戏剧学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10049,中国戏曲学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10050,北京电影学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10051,北京舞蹈学院,11,北京市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10052,中央民族大学,11,北京市,11,普通高等学校:本科院校:大学,12,民族院校,是,是
10053,中国政法大学,11,北京市,11,普通高等学校:本科院校:大学,09,政法院校,是,否
10054,华北电力大学,11,北京市,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10055,南开大学,12,天津市,11,普通高等学校:本科院校:大学,01,综合院校,是,是
10056,天津大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,是,是
10057,天津科技大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10058,天津工业大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10059,中国民航大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10060,天津理工大学,12,天津市,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10061,天津农学院,12,天津市,12,普通高等学校:本科院校:学院,03,农业院校,否,否
10062,天津医科大学,12,天津市,11,普通高等学校:本科院校:大学,05,医药院校,是,否
10063,天津中医药大学,12,天津市,11,普通高等学校:本科院校:大学,05,医药院校,否,否
10065,天津师范大学,12,天津市,11,普通高等学校:本科院校:大学,06,师范院校,否,否
10066,天津职业技术师范大学,12,天津市,11,普通高等学校:本科院校:大学,06,师范院校,否,否
10068,天津外国语大学,12,天津市,11,普通高等学校:本科院校:大学,07,语言院校,否,否
10069,天津商业大学,12,天津市,11,普通高等学校:本科院校:大学,08,财经院校,否,否
10070,天津财经大学,12,天津市,11,普通高等学校:本科院校:大学,08,财经院校,否,否
10071,天津体育学院,12,天津市,12,普通高等学校:本科院校:学院,10,体育院校,否,否
10072,天津音乐学院,12,天津市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10073,天津美术学院,12,天津市,12,普通高等学校:本科院校:学院,11,艺术院校,否,否
10075,河北大学,13,河北省,11,普通高等学校:本科院校:大学,01,综合院校,否,否
10076,河北工程大学,13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10077,河北地质大学,13,河北省,11,普通高等学校:本科院校:大学,08,财经院校,否,否
10078,华北水利水电大学,41,河南省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10079,华北电力大学(保定),13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10080,河北工业大学,13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,是,否
10081,华北理工大学,13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10082,河北科技大学,13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
10084,河北建筑工程学院,13,河北省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10085,河北水利电力学院,13,河北省,12,普通高等学校:本科院校:学院,02,工科院校,否,否
10086,河北农业大学,13,河北省,11,普通高等学校:本科院校:大学,03,农业院校,否,否
10089,河北医科大学,13,河北省,11,普通高等学校:本科院校:大学,05,医药院校,否,否
10092,河北北方学院,13,河北省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
10093,承德医学院,13,河北省,12,普通高等学校:本科院校:学院,05,医药院校,否,否
10094,河北师范大学,13,河北省,11,普通高等学校:本科院校:大学,06,师范院校,否,否
10096,保定学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10098,河北民族师范学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10099,唐山师范学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10100,廊坊师范学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10101,衡水学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10102,石家庄学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10103,邯郸学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10104,邢台学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10105,沧州师范学院,13,河北省,12,普通高等学校:本科院校:学院,06,师范院校,否,否
10107,石家庄铁道大学,13,河北省,11,普通高等学校:本科院校:大学,02,工科院校,否,否
