id,field,class_field,front_get_api,display_format
2,姓名,Name,,input
3,姓名英文,NameEn,,input
4,考生编号,ExamineeNo,,input
5,报名点代码,ExamineeSignPlace,,input
6,证件类型,SsnType,getSsnType,select
7,证件号码,Ssn,,input
8,出生日期,Birthdate,,date
9,国籍,Nation,getNation,select
10,民族,Ethnic,getEthnic,select
11,性别,Gender,getGender,redio
12,婚姻,Marriage,getMarriage,select
13,现役军人,Military,getMilitary,select
14,入伍批准书编号,MilitaryJoinNo,,input
15,退出现役证编号,MilitaryQuitNo,,input
16,政治面貌,Religion,getReligion,select
17,籍贯所在地,Hometown,getRegionState,select
18,出生地,Birthplace,getRegionState,select
19,户口所在地,Residence,getRegionState,select
20,户口所在地详细地址,ResidenceAddress,,input
21,家庭所在地,Family,getRegionState,select
22,家庭所在地详细地址,FamilyAddress,,input
23,火车到站,Railway,getRailwayState,select
24,考生档案所在地,ExamineeArchive,getRegionState,select
25,考生档案所在单位,ExamineeArchiveUnit,,input
26,考生档案所在单位地址,ExamineeArchiveUnitAddress,,input
27,考生档案所在单位邮政编码,ExamineeArchiveUnitZipcode,,input
28,入学前学习或工作单位性质,PreStudyUnitNature,getPrestudyUnitNature,select
29,入学前学习或工作单位所在地,Prestudy,getRegionState,select
30,入学前学习或工作单位,PrestudyUnit,,input
31,学习与工作经历,Experience,,input
32,家庭主要成员,FamilyMember,,input
33,紧急联系人,EmergencyContact,,input
34,微信,Weichat,,input
35,固定电话,Phone,,input
36,移动电话,Mobile,,input
37,电子信箱,Email,,input
38,学号,Sno,,input
40,是否新生,IsNew,getBoolean,redio
43,层次,DegreeLevel,getDegreeLevel,select
44,学位类型,DegreeType,getDegreeType,redio
45,是否统招,IsAdmissionUnified,getBoolean,redio
46,学习形式,EducationMode,getEducationMode,select
47,入学年月,AdmissionDate,,date
48,年级,Grade,,input
49,学期,Term,,input
54,当前学年应缴费,FeeShallPay,,input
55,学费总额,FeeTotal,,input
56,缴费标准,FeeStandard,,input
57,已缴费次数,FeeTimes,,input
58,已缴费总额,FeeTotal2,,input
59,学费一,Fee1,,input
60,学费二,Fee2,,input
61,学费三,Fee3,,input
62,学费四,Fee4,,input
63,学费五,Fee5,,input
64,校区,Campus,getCampus,redio
65,宿舍,Domitory,,input
66,导师,Supervisor,getAllStaff,select
67,专业,Discipline,getDisciplineCategory,select
68,研究方向,Research,,input
69,院系,Unit,getUnitSchool,select
70,学制,Los,,input
71,专业排名,Rank,,input
72,硕博连读硕士阶段的入学年级,MasterGrade,,input
74,奖惩,AwardAndPunishment,,input
75,医疗类型,Medical,getMedical,redio
77,考试方式,Examination,getExamination,select
78,专项计划,SpecialPlan,getSpecialPlan,select
79,专项计划说明,SpecialPlanMemo,,input
80,录取类别,Enrollment,getEnrollment,select
81,定向就业单位所在地,DirectedRegion,getRegionState,select
82,定向就业单位,DirectedWork,,input
83,联合培养单位,JointTraining,,input
84,联合培养单位名称,JointTrainingWork,,input
85,跨专业信息,CrossDiscipline,,input
86,毕业类型,Graduation,getGraduation,select
87,预计毕业日期,ExpectedGraduationDate,,date
88,实际毕业日期,ActualGraduationDate,,date
89,休学学期数,AbsenceTerms,,input
90,正常毕业年限,Duration,,input
91,最长延期,Delay,,input
93,预毕业审核日期,PregraduationDate,,date
94,授予学位名称,GrantedDegree,,input
95,授予学位日期,GrantedDegreeDate,,date
96,毕业证领取状态,DiplomaStatus,getBoolean,redio
97,毕业证编号,DiplomaNo,,input
98,离校状态,Leave,getBoolean,redio
99,离校去向,LeaveTo,,input
100,离校日期,LeaveDate,,date
101,归档状态,ArchiveSatus,getBoolean,redio
102,归档日期,ArchiveDate,,date
103,考生来源,ExamineeOrigin,getExamineeOrigin,select
104,获学士学位的单位,BachelorUnit,getUniversity,select
105,获学士学位的单位名称,BachelorUnitName,,input
106,获学士学位专业,BachelorDiscipline,getBachelorDiscipline,select
107,获学士学位专业名称,BachelorDisciplineName,,input
108,获学士学位日期,BachelorDate,,date
109,学士学位证书编号,BachelorNo,,input
110,本科毕业单位,UndergraduateUnit,getUniversity,select
111,本科毕业单位名称,UndergraduateUnitName,,input
112,本科毕业专业,UndergraduateDiscipline,getBachelorDiscipline,select
113,本科毕业专业名称,UndergraduateDisciplineName,,input
114,本科毕业日期,UndergraduateDate,,date
115,本科毕业证书编号,UndergraduateNo,,input
116,取得本科学历的学习形式,UndergraduateMode,getEducationMode,select
117,获硕士学位的单位,MasterUnit,getUniversity,select
118,获硕士学位的单位名称,MasterUnitName,,input
119,获硕士学位专业,MasterDiscipline,getDisciplineCategory,select
120,获硕士学位专业名称,MasterDisciplineName,,input
121,获硕士学位日期,MasterDate,,date
122,硕士学位证书编号,MasterNo,,input
123,获硕士学位方式,MasterMode,getEducationMode,select
124,硕士毕业单位,PostgraduateUnit,getUniversity,select
125,硕士毕业单位名称,PostgraduateUnitName,,input
126,硕士毕业专业,PostgraduateDiscipline,getDisciplineCategory,select
127,硕士毕业专业名称,PostgraduateDisciplineName,,input
128,硕士毕业日期,PostgraduateDate,,date
129,硕士毕业证书编号,PostgraduateNo,,input
130,取得硕士学历的学习形式,PostgraduateMode,getEducationMode,select
131,最后学位码,FinalDegree,getDegree,select
132,最后学历码,FinalEducation,getEducation,select
133,在校生注册学号,FinalSno,,input
134,获得最后学历毕业日期,FinalEducationDate,,date
135,取得最后学历的学习形式,FinalEducationMode,getEducationMode,select
